idea-section-618-data-products
idea-section-618-data-products-state
idea-section-618-data-products-state-part-b-assessment
idea-section-618-data-products-state-part-b-child-count
idea-section-618-data-products-state-part-b-child-count-educational-environments
idea-section-618-data-products-state-part-b-discipline
idea-section-618-data-products-state-part-b-dispute-resolution
idea-section-618-data-products-state-part-b-educational-environments
idea-section-618-data-products-state-part-b-exiting
idea-section-618-data-products-state-part-b-maintenance-of-effort-reduction
idea-section-618-data-products-state-part-b-personnel
idea-section-618-data-products-state-part-c-child-count
idea-section-618-data-products-state-part-c-count-settings
idea-section-618-data-products-state-part-c-dispute
idea-section-618-data-products-state-part-c-exiting
idea-section-618-data-products-state-part-c-settings
idea-section-618-data-products-static-tables-part-b
idea-section-618-data-products-static-tables-part-b-assessment-table1
idea-section-618-data-products-static-tables-part-b-assessment-table2
idea-section-618-data-products-static-tables-part-b-assessment-table3
idea-section-618-data-products-static-tables-part-b-count-environ-table1
idea-section-618-data-products-static-tables-part-b-count-environ-table2
idea-section-618-data-products-static-tables-part-b-count-environ-table3
idea-section-618-data-products-static-tables-part-b-count-environ-table4
idea-section-618-data-products-static-tables-part-b-count-environ-table5
idea-section-618-data-products-static-tables-part-b-count-environ-table6
idea-section-618-data-products-static-tables-part-b-count-environ-table7
idea-section-618-data-products-static-tables-part-b-count-environ-table8
idea-section-618-data-products-static-tables-part-b-count-environ-table9
idea-section-618-data-products-static-tables-part-b-count-environ-table10
idea-section-618-data-products-static-tables-part-b-count-environ-table11
idea-section-618-data-products-static-tables-part-b-count-environ-table12
idea-section-618-data-products-static-tables-part-b-count-environ-table13
idea-section-618-data-products-static-tables-part-b-count-environ-table14
idea-section-618-data-products-static-tables-part-b-count-environ-table15
idea-section-618-data-products-static-tables-part-b-count-environ-table16
idea-section-618-data-products-static-tables-part-b-count-environ-table17
idea-section-618-data-products-static-tables-part-b-count-environ-table18
idea-section-618-data-products-static-tables-part-b-count-environ-table19
idea-section-618-data-products-static-tables-part-b-count-environ-table20
idea-section-618-data-products-static-tables-part-b-discipline-table1
idea-section-618-data-products-static-tables-part-b-discipline-table2
idea-section-618-data-products-static-tables-part-b-discipline-table3
idea-section-618-data-products-static-tables-part-b-discipline-table4
idea-section-618-data-products-static-tables-part-b-discipline-table5
idea-section-618-data-products-static-tables-part-b-discipline-table6
idea-section-618-data-products-static-tables-part-b-discipline-table7
idea-section-618-data-products-static-tables-part-b-discipline-table8
idea-section-618-data-products-static-tables-part-b-discipline-table9
idea-section-618-data-products-static-tables-part-b-discipline-table10
idea-section-618-data-products-static-tables-part-b-discipline-table11
idea-section-618-data-products-static-tables-part-b-discipline-table12
idea-section-618-data-products-static-tables-part-b-discipline-table13
idea-section-618-data-products-static-tables-part-b-discipline-table14
idea-section-618-data-products-static-tables-part-b-discipline-table15
idea-section-618-data-products-static-tables-part-b-discipline-table16
idea-section-618-data-products-static-tables-part-b-discipline-table17
idea-section-618-data-products-static-tables-part-b-discipline-table18
idea-section-618-data-products-static-tables-part-b-discipline-table19
idea-section-618-data-products-static-tables-part-b-dispute-table1
idea-section-618-data-products-static-tables-part-b-dispute-table2
idea-section-618-data-products-static-tables-part-b-dispute-table3
idea-section-618-data-products-static-tables-part-b-dispute-table4
idea-section-618-data-products-static-tables-part-b-exiting-table1
idea-section-618-data-products-static-tables-part-b-exiting-table2
idea-section-618-data-products-static-tables-part-b-exiting-table3
idea-section-618-data-products-static-tables-part-b-exiting-table4
idea-section-618-data-products-static-tables-part-b-exiting-table5
idea-section-618-data-products-static-tables-part-b-moe-table1
idea-section-618-data-products-static-tables-part-b-moe-table2
idea-section-618-data-products-static-tables-part-b-moe-table3
idea-section-618-data-products-static-tables-part-b-moe-table4
idea-section-618-data-products-static-tables-part-b-moe-table5
idea-section-618-data-products-static-tables-part-b-moe-table6
idea-section-618-data-products-static-tables-part-b-personnel-table1
idea-section-618-data-products-static-tables-part-b-personnel-table2
idea-section-618-data-products-static-tables-part-c
idea-section-618-data-products-static-tables-part-c-child-count-table1
idea-section-618-data-products-static-tables-part-c-child-count-table2
idea-section-618-data-products-static-tables-part-c-child-count-table3
idea-section-618-data-products-static-tables-part-c-child-count-table4
idea-section-618-data-products-static-tables-part-c-child-count-table5
idea-section-618-data-products-static-tables-part-c-child-count-table6
idea-section-618-data-products-static-tables-part-c-child-count-table7
idea-section-618-data-products-static-tables-part-c-child-count-table8
idea-section-618-data-products-static-tables-part-c-child-count-table9
idea-section-618-data-products-static-tables-part-c-child-count-table10
idea-section-618-data-products-static-tables-part-c-child-count-table11
idea-section-618-data-products-static-tables-part-c-dispute-resolution-table1
idea-section-618-data-products-static-tables-part-c-dispute-resolution-table2
idea-section-618-data-products-static-tables-part-c-dispute-resolution-table3
idea-section-618-data-products-static-tables-part-c-exiting-table1
idea-section-618-data-products-static-tables-part-c-exiting-table2
idea-section-618-data-products-static-tables-part-c-exiting-table3

